[(97, 67), (83, 55), (93, 15), (67, 3), (45, 30), (19, 10), (7, 15), (9, 38), (34, 41), (35, 52), (14, 71), (52, 82), (65, 81), (81, 76)]
[(8, 87), (46, 48), (58, 56), (61, 53), (65, 40), (56, 21), (50, 17), (11, 6), (69, 1), (94, 26), (91, 43), (86, 54), (91, 91), (69, 97)]
[(45, 66), (44, 75), (7, 93), (3, 45), (12, 48), (22, 48), (29, 39), (57, 10), (84, 28), (100, 47), (100, 66), (86, 71), (62, 63), (52, 65)]
[(64, 48), (62, 48), (44, 33), (34, 42), (14, 75), (1, 37), (1, 27), (39, 2), (75, 7), (87, 13), (95, 38), (83, 37), (81, 35), (73, 31)]
[(53, 14), (63, 14), (72, 65), (84, 67), (83, 78), (78, 81), (74, 93), (75, 97), (67, 89), (13, 81), (18, 78), (34, 34), (12, 19), (50, 3)]
[(75, 36), (27, 21), (6, 27), (10, 50), (15, 87), (32, 86), (51, 97), (42, 60), (61, 61), (67, 60), (85, 60), (89, 63), (86, 50), (99, 27)]
[(62, 61), (65, 76), (83, 93), (82, 99), (91, 100), (100, 72), (79, 43), (84, 8), (55, 23), (43, 17), (12, 2), (7, 41), (36, 37), (35, 58)]
[(3, 97), (22, 64), (26, 69), (33, 74), (59, 94), (42, 65), (55, 54), (80, 48), (53, 14), (14, 5), (9, 11), (9, 44), (11, 56), (10, 64)]
[(13, 12), (5, 39), (19, 41), (19, 47), (1, 58), (5, 68), (20, 62), (50, 62), (61, 54), (84, 77), (89, 96), (99, 96), (96, 64), (94, 35)]
[(17, 81), (1, 84), (6, 72), (22, 62), (50, 44), (43, 34), (26, 15), (25, 1), (39, 7), (84, 27), (99, 42), (97, 93), (83, 69), (54, 58)]
[(95, 38), (92, 3), (45, 25), (24, 10), (7, 16), (18, 75), (33, 78), (31, 92), (37, 97), (52, 78), (56, 66), (77, 74), (84, 79), (98, 99)]
[(50, 95), (56, 100), (69, 80), (46, 66), (63, 41), (57, 30), (70, 15), (54, 20), (28, 10), (5, 21), (6, 26), (5, 71), (17, 100), (36, 97)]
[(31, 5), (2, 0), (12, 84), (0, 97), (33, 91), (86, 84), (82, 53), (89, 21), (61, 32), (66, 38), (63, 55), (55, 51), (51, 37), (41, 20)]
[(98, 23), (55, 58), (43, 70), (56, 83), (69, 85), (62, 97), (39, 91), (37, 83), (4, 83), (9, 66), (5, 61), (1, 50), (0, 1), (87, 13)]
[(72, 41), (82, 27), (76, 13), (1, 2), (28, 30), (53, 67), (55, 68), (52, 80), (46, 90), (42, 91), (42, 99), (67, 78), (89, 59), (92, 47)]
[(60, 37), (47, 30), (15, 11), (4, 7), (39, 8), (50, 0), (94, 9), (80, 23), (99, 87), (48, 83), (21, 95), (33, 73), (61, 61), (64, 56)]
[(55, 1), (59, 17), (66, 21), (66, 1), (85, 1), (99, 7), (99, 28), (99, 57), (77, 91), (74, 96), (57, 100), (21, 35), (24, 28), (12, 11)]
[(39, 62), (30, 67), (11, 84), (0, 64), (2, 63), (7, 56), (2, 39), (18, 16), (54, 50), (68, 58), (94, 26), (96, 93), (79, 93), (58, 100)]
